Unité,Titre (AR),Titre (FR),Dial.,Pers.,Texte Arabe (Vocalisé),Phonétique,Traduction Française
13,السفر,Le Voyage,13.1,الموظف,أَيَّ خِدمَةٍ ؟,Ayya khidmah?,Puis-je vous aider ?
13,السفر,Le Voyage,13.1,المسافر,لَدَيَّ حَجْزُ إلى جُدَّةَ، وأريد تأكيد الحجز,"Ladayya ḥajzun ilā Jeddah, wa urīdu ta'kīda l-ḥajz","J'ai une réservation pour Jeddah, et je veux confirmer la réservation."
13,السفر,Le Voyage,13.1,الموظف,هَلِ الحَجْزُ عَلَى الخُطوط السعودِيَّةِ ؟,Hali l-ḥajzu ʿalā l-khuṭūṭi s-suʿūdiyyah?,Est-ce que la réservation est sur la Saudi Airlines ?
13,السفر,Le Voyage,13.1,المسافر,لا ، هُوَ على الخطوط الإندونيسية,"Lā, huwa ʿalā l-khuṭūṭi l-indūnīsiyyah","Non, c'est sur les lignes indonésiennes."
13,السفر,Le Voyage,13.1,الموظف,أَيْنَ التَّذاكِرُ ؟,Ayna t-tadhākir?,Où sont les billets ?
13,السفر,Le Voyage,13.1,المسافر,هَذِهِ هِيَ التَّذاكِرُ : تَذْكِرَتِي، وَتَذْكِرَةُ زَوْجَتِي,"Hādhihi hiya t-tadhākir: tadhkiratī, wa tadhkiratu zawjatī","Voici les billets : mon billet, et le billet de ma femme."
13,السفر,Le Voyage,13.1,المسافر,وتَذْكِرَةُ ابْنِي، وَتَذْكِرَةُ بِنْتِي,"Wa tadhkiratu ibnī, wa tadhkiratu bintī","Et le billet de mon fils, et le billet de ma fille."
13,السفر,Le Voyage,13.1,الموظف,وَأَيْنَ جَوازاتُ السَّفَرِ ؟,Wa ayna jawāzātu s-safar?,Et où sont les passeports ?
13,السفر,Le Voyage,13.1,المسافر,هَذِهِ هِيَ جَوازَاتُ السَّفَرِ,Hādhihi hiya jawāzātu s-safar,Voici les passeports.
13,السفر,Le Voyage,13.1,الموظف,أَيْنَ تَأشِيرَةُ الخُرُوجِ ؟,Ayna ta'shīratu l-khurūj?,Où est le visa de sortie ?
13,السفر,Le Voyage,13.1,المسافر,هَذِهِ تَأْشِيرَةُ الخُرُوجِ، وَهَذِهِ تَأْشِيرَةُ الدخول,"Hādhihi ta'shīratu l-khurūj, wa hādhihi ta'shīratu d-dukhūl","Voici le visa de sortie, et voici le visa d'entrée."
13,السفر,Le Voyage,13.1,الموظف,الرَّحلَةُ رَقْمُ ٧٧٧ . تُغَادِرُ الطَّائِرَةُ السَّاعَةَ الثَّالِثَةَ فَجْراً,Ar-riḥlatu raqm sab'ami'ah wa sab'a wa sab'ūn...,Le vol numéro 777. L'avion part à trois heures de l'aube.
13,السفر,Le Voyage,13.1,الموظف,احْضُرْ إِلى المَطارِ قَبْلَ سَاعَتَيْنِ,Uḥḍur ilā l-maṭāri qabla sāʿatayn,Présentez-vous à l'aéroport deux heures avant.
13,السفر,Le Voyage,13.1,المسافر,شكراً,Shukran,Merci.
13,السفر,Le Voyage,13.1,الموظف,رِحْلَةً سَعِيدَةً,Riḥlatan saʿīdah,Bon voyage.
13,السفر,Le Voyage,13.2,المسافر,السَّلامُ عَلَيْكُم,As-salāmu ʿalaykum,Que la paix soit sur vous.
13,السفر,Le Voyage,13.2,الضابط,وَعَلَيْكُمُ السَّلَامُ أَهْلاً وَسَهْلاً جَوازَ السَّفَرِ مِنْ فَضْلِكَ,...jawāza s-safari min faḍlika,"Et sur vous la paix, bienvenue. Votre passeport s'il vous plaît."
13,السفر,Le Voyage,13.2,المسافر,هَذَا هُوَ جَوازُ السَّفَرِ,Hādhā huwa jawāzu s-safar,Voici le passeport.
13,السفر,Le Voyage,13.2,الضابط,هَلْ أَنْتَ ماليزي ؟,Hal anta Mālīziyy?,Êtes-vous Malaisien ?
13,السفر,Le Voyage,13.2,المسافر,لا ، أنا كَشْمِيرِي,"Lā, ana Kashmīriyy","Non, je suis Cachemiri."
13,السفر,Le Voyage,13.2,الضابط,هَلْ أَنْتَ قَادِمٌ لِلعَمَلِ ؟,Hal anta qādimun lil-ʿamal?,Venez-vous pour travailler ?
13,السفر,Le Voyage,13.2,المسافر,لا ، أنا قادِمٌ لِلزِّيارَةِ والعُمْرَةِ,"Lā, ana qādimun liz-ziyārati wa l-ʿumrah","Non, je viens pour une visite et la Omra."
13,السفر,Le Voyage,13.2,الضابط,كَم يَوْماً سَتُقِيمُ هُنا ؟,Kam yawman satuqīmu hunā?,Combien de jours resterez-vous ici ?
13,السفر,Le Voyage,13.2,المسافر,ثَلَاثَةَ أسابيع تَقْرِيباً,Thalāthata asābīʿ taqrīban,Environ trois semaines.
13,السفر,Le Voyage,13.2,الضابط,أَيْنَ سَتُقِيمُ ؟,Ayna satuqīm?,Où résiderez-vous ?
13,السفر,Le Voyage,13.2,المسافر,سَأُقِيمُ فِي فُنْدُقٍ قَرِيبٍ مِنَ المَسْجِدِ الحرام,Sa-uqīmu fī funduqin qarīb min al-Masjidi l-Ḥarām,Je résiderai dans un hôtel proche de la Mosquée Sacrée.
13,السفر,Le Voyage,13.2,الضابط,إقَامَةً طَيِّبَةً، وعُمْرَةً مَقْبُولَةً إِنْ شَاءَ الله,"Iqāmatan ṭayyibah, wa ʿumratan maqbūlah...","Bon séjour, et Omra acceptée si Dieu le veut."
13,السفر,Le Voyage,13.2,المسافر,جَزَاكَ اللهُ خَيْرًا,Jazāka llāhu khayran,Qu'Allah vous récompense.
13,السفر,Le Voyage,13.3,الموظف,أَهْلاً وسهلا,Ahlan wa sahlan,Bienvenue.
13,السفر,Le Voyage,13.3,المسافر,فَقَدْتُ حقيبتي,Faqadtu ḥaqībatī,J'ai perdu ma valise.
13,السفر,Le Voyage,13.3,الموظف,مِنْ أَيْنَ أَنْتَ قَادِمٌ ؟,Min ayna anta qādim?,D'où venez-vous (arrivez-vous) ?
13,السفر,Le Voyage,13.3,المسافر,أنا قادِمٌ مِنْ بَنْغَلاديش,Ana qādimun min Banghalādīsh,Je viens du Bangladesh.
13,السفر,Le Voyage,13.3,الموظف,أَيْنَ الجَوازُ ؟ وَأَيْنَ التَّذْكِرَةُ ؟,Ayna l-jawāz? Wa ayna t-tadhkirah?,Où est le passeport ? Et où est le billet ?
13,السفر,Le Voyage,13.3,المسافر,هذا هُوَ الجَوازُ، وَهَذِهِ هِيَ التَّذْكِرَةُ,"Hādhā huwa l-jawāz, wa hādhihi hiya t-tadhkirah","Voici le passeport, et voici le billet."
13,السفر,Le Voyage,13.3,الموظف,مَا لَوْنُ الحَقِيبَةِ ؟,Mā lawnu l-ḥaqībah?,Quelle est la couleur de la valise ?
13,السفر,Le Voyage,13.3,المسافر,لَونُها أَسْوَدُ,Lawnuhā aswad,Sa couleur est noire.
13,السفر,Le Voyage,13.3,الموظف,هَلْ هَذِهِ حَقِيبَتُكَ ؟,Hal hādhihi ḥaqībatuk?,Est-ce votre valise ?
13,السفر,Le Voyage,13.3,المسافر,نَعَمْ، هَذِهِ حقيبتي,"Naʿam, hādhihi ḥaqībatī","Oui, c'est ma valise."
13,السفر,Le Voyage,13.3,الموظف,ماذا في الحقيبة ؟,Mādhā fī l-ḥaqībah?,Qu'y a-t-il dans la valise ?
13,السفر,Le Voyage,13.3,المسافر,في الحقيبة ملابس,Fī l-ḥaqībati malābis,Dans la valise il y a des vêtements.
13,السفر,Le Voyage,13.3,الموظف,افْتَحِ الحَقِيبَةَ,Iftaḥi l-ḥaqībah,Ouvrez la valise.
13,السفر,Le Voyage,13.3,المسافر,نَعَمْ، هذه حقيبتي,"Naʿam, hādhihi ḥaqībatī","Oui, c'est ma valise."
14,الحج والعمرة,Hajj et Omra,14.1,سليم,متى العُطْلَةُ يا جميل ؟,Matā l-ʿuṭlatu yā Jamīl?,Quand sont les vacances Jamil ?
14,الحج والعمرة,Hajj et Omra,14.1,جميل,العُطْلَةُ فِي شَهْرِ رَمَضانَ,Al-ʿuṭlatu fī shahri Ramaḍān,Les vacances sont au mois de Ramadan.
14,الحج والعمرة,Hajj et Omra,14.1,سليم,أَيْنَ تَقْضِي العطلَةَ ؟,Ayna taqḍī l-ʿuṭlah?,Où passes-tu les vacances ?
14,الحج والعمرة,Hajj et Omra,14.1,جميل,أقضي العُطْلَةَ في مَكَّةَ المُكَرَّمَةِ ، والمدينة المنورة,"Aqḍī l-ʿuṭlata fī Makkata l-Mukarramah, wa l-Madīnati l-Munawwarah","Je passe les vacances à La Mecque la Sainte, et Médine l'Illuminée."
14,الحج والعمرة,Hajj et Omra,14.1,سليم,كَيْفَ تَقْضِي العُطْلَةَ فِي مَكَّةَ ؟,Kayfa taqḍī l-ʿuṭlata fī Makkah?,Comment passes-tu les vacances à La Mecque ?
14,الحج والعمرة,Hajj et Omra,14.1,جميل,أَعْتَمِرُ وأصوم، وأصلي في المَسْجِدِ الحرام,"Aʿtamiru wa aṣūm, wa uṣallī fī l-Masjidi l-Ḥarām","Je fais la Omra, je jeûne et je prie à la Mosquée Sacrée."
14,الحج والعمرة,Hajj et Omra,14.1,سليم,وماذا تَفْعَلُ في المدينة ؟,Wa mādhā tafʿalu fī l-Madīnah?,Et que fais-tu à Médine ?
14,الحج والعمرة,Hajj et Omra,14.1,جميل,أزورُ المَسْجِدَ النَّبَوِيَّ,Azūru l-Masjida n-Nabawiyy,Je visite la Mosquée du Prophète.
14,الحج والعمرة,Hajj et Omra,14.1,سليم,وأَيْنَ تَقْضِي أَيَّامَ العيد ؟,Wa ayna taqḍī ayyāma l-ʿīd?,Et où passes-tu les jours de l'Aïd ?
14,الحج والعمرة,Hajj et Omra,14.1,جميل,أقضيها في مكة أو في المدينة,Aqḍīhā fī Makkah aw fī l-Madīnah,Je les passe à La Mecque ou à Médine.
14,الحج والعمرة,Hajj et Omra,14.1,سليم,وماذا تَفْعَلُ فِي مَكَّةَ ؟,Wa mādhā tafʿalu fī Makkah?,Et que fais-tu à La Mecque ?
14,الحج والعمرة,Hajj et Omra,14.1,جميل,أَطُوفُ حَوْلَ الكَعْبَةِ سَبْعَةَ أَشْواطٍ,Aṭūfu ḥawla l-Kaʿbati sabʿata ashwāṭ,Je tourne autour de la Kaaba sept tours (Tawaf).
14,الحج والعمرة,Hajj et Omra,14.1,جميل,ثُمَّ أُصَلِّي رَكْعَتَينِ خَلْفَ مَقامِ إِبْرَاهِيمَ,Thumma uṣallī rakʿatayni khalfa maqāmi Ibrāhīm,Ensuite je prie deux unités de prière derrière la station d'Ibrahim.
14,الحج والعمرة,Hajj et Omra,14.1,سليم,بِمَ تَشْعُرُ فِي مَكَّةَ والمَدِينَةِ ؟,Bima tashʿuru fī Makkah wa l-Madīnah?,Que ressens-tu à La Mecque et à Médine ?
14,الحج والعمرة,Hajj et Omra,14.1,جميل,أَشْعُرُ بالسرور,Ashʿuru bi-s-surūr,Je ressens de la joie.
14,الحج والعمرة,Hajj et Omra,14.2,الابن,كَيْفَ اعْتَمَرْتَ يا أبي ؟,Kayfa iʿtamarta yā abī?,Comment as-tu fait la Omra mon père ?
14,الحج والعمرة,Hajj et Omra,14.2,الأب,وَصَلْتُ إلى الميقاتِ عِنْدَ الظُّهْرِ,Waṣaltu ilā l-mīqāti ʿinda ẓ-ẓuhr,Je suis arrivé au Miquat à midi.
14,الحج والعمرة,Hajj et Omra,14.2,الابن,وماذا فَعَلْتَ في الميقات ؟,Wa mādhā faʿalta fī l-mīqāt?,Et qu'as-tu fait au Miquat ?
