Unité,Titre (AR),Titre (FR),Dial.,Pers.,Texte Arabe,Phonétique,Traduction
1,التحية والتعارف,Salutations,1.1,خالد,السَّلامُ عَلَيْكُم,As-salāmu ʿalaykum,Que la paix soit sur vous.
1,التحية والتعارف,Salutations,1.1,خليل,وَعَلَيْكُمُ السَّلام,Wa ʿalaykumu s-salām,Et sur vous la paix.
1,التحية والتعارف,Salutations,1.1,خالد,اِسْمِي خَالِد ، مَا اِسْمُكَ ؟,"Ismī Khālid, mā ismuka?","Je m'appelle Khalid, quel est ton nom ?"
1,التحية والتعارف,Salutations,1.1,خليل,اِسْمِي خَلِيل,Ismī Khalīl,Je m'appelle Khalil.
1,التحية والتعارف,Salutations,1.1,خالد,كَيْفَ حَالُكَ ؟,Kayfa ḥāluka?,Comment vas-tu ?
1,التحية والتعارف,Salutations,1.1,خليل,بِخَيْرٍ ، وَالْحَمْدُ لله,"Bi-khayr, wa l-ḥamdu lillāh","Bien, louange à Dieu."
1,التحية والتعارف,Salutations,1.1,خالد,وَكَيْفَ حَالُكَ أَنْتَ ؟,Wa kayfa ḥāluka anta?,Et comment vas-tu toi ?
1,التحية والتعارف,Salutations,1.1,خليل,بِخَيْرٍ ، وَالْحَمْدُ لله,"Bi-khayr, wa l-ḥamdu lillāh","Bien, louange à Dieu."
1,التحية والتعارف,Salutations,1.2,محمد,السَّلامُ عَلَيْكُم,As-salāmu ʿalaykum,Que la paix soit sur vous.
1,التحية والتعارف,Salutations,1.2,شريف,وَعَلَيْكُمُ السَّلام,Wa ʿalaykumu s-salām,Et sur vous la paix.
1,التحية والتعارف,Salutations,1.2,محمد,مِنْ أَيْنَ أَنْتَ ؟,Min ayna anta?,D'où viens-tu ?
1,التحية والتعارف,Salutations,1.2,شريف,أَنَا مِنْ بَاكِسْتَان,Ana min Pākistān,Je suis du Pakistan.
1,التحية والتعارف,Salutations,1.2,محمد,هَلْ أَنْتَ بَاكِسْتَانِي ؟,Hal anta Pākistānī?,Es-tu Pakistanais ?
1,التحية والتعارف,Salutations,1.2,شريف,نَعَمْ، أَنَا بَاكِسْتَانِي. وَمَا جِنْسِيَّتُكَ أَنْتَ؟,"Naʿam, ana Pākistānī. Wa mā jinsiyyatuka anta?","Oui, je suis Pakistanais. Et quelle est ta nationalité ?"
1,التحية والتعارف,Salutations,1.2,محمد,أَنَا تُرْكِيّ . أَنَا مِنْ تُرْكِيَا,Ana Turkiyy. Ana min Turkiyā,Je suis Turc. Je viens de Turquie.
1,التحية والتعارف,Salutations,1.2,شريف,أَهْلاً وَسَهْلاً,Ahlan wa sahlan,Bienvenue (Enchanté).
1,التحية والتعارف,Salutations,1.3,أحمد,السَّلامُ عَلَيْكُم,As-salāmu ʿalaykum,Que la paix soit sur vous.
1,التحية والتعارف,Salutations,1.3,بدر,وَعَلَيْكُمُ السَّلام,Wa ʿalaykumu s-salām,Et sur vous la paix.
1,التحية والتعارف,Salutations,1.3,أحمد,هَذَا أَخِي . هُوَ مُدَرِّس,Hādhā akhī. Huwa mudarris,Voici mon frère. Il est enseignant.
1,التحية والتعارف,Salutations,1.3,بدر,أَهْلاً وَسَهْلاً,Ahlan wa sahlan,Bienvenue.
1,التحية والتعارف,Salutations,1.3,أحمد,هَذَا صَدِيقِي . هُوَ مُهَنْدِس,Hādhā ṣadīqī. Huwa muhandis,Voici mon ami. Il est ingénieur.
1,التحية والتعارف,Salutations,1.3,الأخ,أَهْلاً وَسَهْلاً,Ahlan wa sahlan,Bienvenue.
1,التحية والتعارف,Salutations,1.3,أحمد,مَعَ السَّلامَة,Maʿa s-salāmah,Au revoir.
1,التحية والتعارف,Salutations,1.3,بدر,مَعَ السَّلامَة,Maʿa s-salāmah,Au revoir.
2,الأسرة,La Famille,2.1,علي,السَّلامُ عَلَيْكُم,As-salāmu ʿalaykum,Que la paix soit sur vous.
2,الأسرة,La Famille,2.1,عمار,وَعَلَيْكُمُ السَّلام,Wa ʿalaykumu s-salām,Et sur vous la paix.
2,الأسرة,La Famille,2.1,علي,هَذِهِ صُورَةُ أُسْرَتِي,Hādhihi ṣūratu usratī,C'est une photo de ma famille.
2,الأسرة,La Famille,2.1,عمار,مَا شَاءَ الله ! مَنْ هَذَا ؟,Mā shā'a llāh! Man hādhā?,Masha'Allah ! Qui est-ce ?
